factors,learningRate,groupSize,regularization,avgNDCG,medianNDCG,stdNDCG,minNDCG,maxNDCG,avgPrecision,avgRecall
128,0.0500,10,0.0100,0.120215,0.121161,0.002508,0.116551,0.124399,0.105716,0.107323
128,0.0500,3,0.0100,0.118753,0.118558,0.001953,0.115713,0.122081,0.104183,0.105551
128,0.0500,5,0.0100,0.118660,0.118827,0.002143,0.115696,0.121609,0.104574,0.105182
100,0.0500,10,0.0100,0.118398,0.118755,0.001758,0.115007,0.121790,0.104243,0.106190
100,0.0500,5,0.0100,0.118001,0.119110,0.002289,0.114418,0.121134,0.104073,0.105112
64,0.0500,10,0.0100,0.117376,0.117071,0.002321,0.115032,0.121631,0.102700,0.104198
100,0.0500,3,0.0100,0.117228,0.117758,0.001608,0.114505,0.119491,0.103166,0.103911
64,0.0500,5,0.0100,0.115606,0.116690,0.002662,0.110947,0.119416,0.101789,0.103391
64,0.0500,3,0.0100,0.115602,0.116183,0.001823,0.112351,0.118584,0.102244,0.103422
128,0.0500,5,0.0010,0.114430,0.114507,0.001575,0.111760,0.117278,0.100982,0.102778
128,0.0500,3,0.0010,0.114124,0.114326,0.002617,0.110409,0.118165,0.100581,0.103369
128,0.0500,10,0.0010,0.113833,0.113910,0.001835,0.110723,0.117917,0.100406,0.102602
100,0.0500,10,0.0010,0.113632,0.114104,0.002125,0.110036,0.116454,0.100240,0.102561
100,0.0500,3,0.0010,0.113551,0.114211,0.002511,0.108914,0.116155,0.100261,0.101977
100,0.0500,5,0.0010,0.112388,0.112583,0.001816,0.109714,0.115730,0.099760,0.102047
64,0.0500,5,0.0010,0.111965,0.112154,0.001399,0.109771,0.113912,0.098602,0.100715
64,0.0500,3,0.0010,0.110888,0.110943,0.001680,0.108478,0.114195,0.098141,0.099994
64,0.0500,10,0.0010,0.110768,0.110412,0.002431,0.107443,0.114411,0.097610,0.099429
128,0.1000,10,0.0100,0.109207,0.109316,0.002192,0.105647,0.114176,0.096794,0.098732
128,0.1000,5,0.0100,0.109159,0.108842,0.002245,0.105548,0.112794,0.096804,0.098416
128,0.1000,3,0.0100,0.108941,0.110118,0.002030,0.104737,0.111620,0.096553,0.097753
100,0.1000,5,0.0100,0.107879,0.108827,0.002932,0.103051,0.112039,0.095531,0.097596
100,0.1000,10,0.0100,0.107774,0.107903,0.002072,0.102797,0.111217,0.095892,0.097821
64,0.1000,3,0.0100,0.106907,0.107156,0.002061,0.102508,0.110110,0.095070,0.096238
64,0.1000,5,0.0100,0.106393,0.107126,0.003047,0.098750,0.110002,0.094198,0.096825
64,0.1000,10,0.0100,0.106230,0.105995,0.004393,0.099883,0.114256,0.094805,0.096958
100,0.1000,3,0.0100,0.106163,0.107101,0.001767,0.103481,0.108494,0.094955,0.096296
128,0.1000,3,0.0010,0.090297,0.089886,0.001856,0.088469,0.093474,0.080656,0.082761
128,0.1000,10,0.0010,0.090080,0.090263,0.001641,0.087779,0.093907,0.080471,0.082420
100,0.1000,3,0.0010,0.089059,0.089448,0.001846,0.085967,0.091766,0.079835,0.081645
128,0.1000,5,0.0010,0.088959,0.089489,0.002371,0.085360,0.092878,0.080541,0.081718
100,0.1000,10,0.0010,0.088802,0.089474,0.002299,0.085123,0.092535,0.079514,0.081210
100,0.1000,5,0.0010,0.088751,0.088812,0.002015,0.085649,0.092268,0.079399,0.080690
64,0.1000,3,0.0010,0.086778,0.086636,0.001149,0.085027,0.088692,0.078226,0.079061
64,0.1000,5,0.0010,0.086750,0.087508,0.002028,0.082929,0.090422,0.078091,0.078918
64,0.1000,10,0.0010,0.086470,0.085817,0.001827,0.083823,0.089238,0.077720,0.078425
128,0.0100,3,0.0010,0.082287,0.083014,0.001399,0.079029,0.084243,0.071759,0.070502
128,0.0100,5,0.0010,0.082176,0.082362,0.000658,0.081339,0.083331,0.071784,0.070836
128,0.0100,10,0.0010,0.081905,0.081726,0.001132,0.079604,0.083734,0.071333,0.069892
100,0.0100,10,0.0010,0.081656,0.081713,0.000935,0.080575,0.083555,0.071588,0.069933
100,0.0100,5,0.0010,0.081612,0.081428,0.001033,0.079765,0.083643,0.071718,0.070203
100,0.0100,3,0.0010,0.081157,0.081450,0.001187,0.078928,0.082620,0.070927,0.069248
64,0.0100,10,0.0010,0.080851,0.081361,0.000941,0.078736,0.082194,0.070511,0.069542
64,0.0100,3,0.0010,0.080784,0.081165,0.000715,0.078948,0.081438,0.070721,0.069509
64,0.0100,5,0.0010,0.080495,0.080482,0.000790,0.079038,0.081735,0.070220,0.068664
128,0.0100,10,0.0100,0.079887,0.079996,0.000877,0.078271,0.081415,0.069639,0.067477
128,0.0100,3,0.0100,0.079792,0.080272,0.001303,0.077282,0.081760,0.069594,0.067253
100,0.0100,3,0.0100,0.079705,0.079732,0.001000,0.078172,0.081876,0.069198,0.067251
128,0.0100,5,0.0100,0.079551,0.080197,0.000944,0.078255,0.081011,0.069359,0.067344
100,0.0100,5,0.0100,0.079454,0.079908,0.001335,0.076768,0.081395,0.069569,0.067522
100,0.0100,10,0.0100,0.079369,0.079462,0.000991,0.077290,0.081056,0.069419,0.067249
64,0.0100,5,0.0100,0.078855,0.078778,0.001012,0.077387,0.080771,0.068712,0.066703
64,0.0100,10,0.0100,0.078852,0.079083,0.001590,0.075826,0.082118,0.068517,0.066538
64,0.0100,3,0.0100,0.078009,0.077982,0.001482,0.075856,0.080641,0.067946,0.065591
100,0.0100,3,0.1000,0.077727,0.077899,0.000520,0.076740,0.078560,0.068226,0.064719
128,0.0100,5,0.1000,0.077675,0.077774,0.000518,0.076652,0.078519,0.068016,0.064316
