user_id,item_id,rating,category
1,6,4.85,AREA_FAUNISTICA
1,13,4.6,MUSEO
1,11,4.5,CENTRO_VISITA
1,9,4.29,MUSEO
2,12,4.45,CENTRO_VISITA
2,13,4.4,MUSEO
2,19,3.65,COMUNE
3,5,4.64,AREA_FAUNISTICA
3,10,4.1,INFOPOINT
3,9,3.86,MUSEO
4,4,4.4,AREA_FAUNISTICA
4,10,4.2,INFOPOINT
4,9,3.7,MUSEO
5,13,4.9,MUSEO
5,11,4.43,CENTRO_VISITA
5,16,3.76,INFOPOINT
6,2,4.7,CENTRO_VISITA
6,5,3.9,AREA_FAUNISTICA
8,13,4.7,MUSEO
8,19,4.14,COMUNE
8,15,3.91,INFOPOINT
9,2,4.51,CENTRO_VISITA
9,15,4.3,INFOPOINT
9,18,4.24,INFOPOINT
9,12,4.1,CENTRO_VISITA
10,1,4.58,AREA_FAUNISTICA
11,2,4.6,CENTRO_VISITA
11,1,4.35,AREA_FAUNISTICA
11,17,4.3,INFOPOINT
11,7,4.0,CENTRO_VISITA
11,18,3.95,INFOPOINT
12,6,4.75,AREA_FAUNISTICA
12,8,4.15,INFOPOINT
13,8,4.4,INFOPOINT
13,5,4.4,AREA_FAUNISTICA
13,2,4.25,CENTRO_VISITA
14,7,4.02,CENTRO_VISITA
14,18,3.91,INFOPOINT
15,1,4.62,AREA_FAUNISTICA
16,15,4.8,INFOPOINT
16,18,4.45,INFOPOINT
16,11,4.1,CENTRO_VISITA
17,8,4.6,INFOPOINT
17,16,4.06,INFOPOINT
17,20,3.7,INFOPOINT
18,11,4.6,CENTRO_VISITA
18,8,4.3,INFOPOINT
18,3,4.25,CENTRO_VISITA
19,18,4.25,INFOPOINT
19,19,4.1,COMUNE
19,13,3.9,MUSEO
20,8,4.41,INFOPOINT
