user_id,item_id,rating,category
1,6,4.77,AREA_FAUNISTICA
1,16,4.49,INFOPOINT
1,12,4.03,CENTRO_VISITA
1,8,4.01,INFOPOINT
1,7,3.8,CENTRO_VISITA
2,2,4.32,CENTRO_VISITA
2,3,4.23,CENTRO_VISITA
2,17,4.15,INFOPOINT
2,20,3.62,INFOPOINT
3,2,4.68,CENTRO_VISITA
3,3,4.22,CENTRO_VISITA
3,4,4.03,AREA_FAUNISTICA
3,20,3.64,INFOPOINT
4,4,4.16,AREA_FAUNISTICA
4,13,4.7,MUSEO
4,15,4.62,INFOPOINT
4,7,3.74,CENTRO_VISITA
5,4,4.43,AREA_FAUNISTICA
5,14,4.21,MUSEO
5,15,4.07,INFOPOINT
5,7,3.99,CENTRO_VISITA
6,8,4.53,INFOPOINT
6,1,4.33,AREA_FAUNISTICA
6,6,4.33,AREA_FAUNISTICA
6,15,3.97,INFOPOINT
7,19,4.73,COMUNE
7,8,4.4,INFOPOINT
7,11,4.4,CENTRO_VISITA
7,3,4.34,CENTRO_VISITA
7,2,4.11,CENTRO_VISITA
8,7,4.21,CENTRO_VISITA
8,3,4.04,CENTRO_VISITA
9,8,4.34,INFOPOINT
9,6,4.66,AREA_FAUNISTICA
9,13,4.28,MUSEO
9,12,3.72,CENTRO_VISITA
10,14,4.32,MUSEO
10,13,4.31,MUSEO
10,19,4.79,COMUNE
10,16,4.49,INFOPOINT
10,4,4.23,AREA_FAUNISTICA
10,8,4.19,INFOPOINT
11,18,4.89,INFOPOINT
11,16,4.77,INFOPOINT
11,15,4.7,INFOPOINT
11,7,3.78,CENTRO_VISITA
11,6,3.7,AREA_FAUNISTICA
12,13,4.63,MUSEO
12,10,4.17,INFOPOINT
12,7,4.14,CENTRO_VISITA
12,14,4.1,MUSEO
13,10,4.5,INFOPOINT
13,14,4.21,MUSEO
13,6,4.11,AREA_FAUNISTICA
13,15,4.07,INFOPOINT
13,7,3.53,CENTRO_VISITA
14,10,4.52,INFOPOINT
14,15,4.26,INFOPOINT
14,8,4.22,INFOPOINT
14,13,4.67,MUSEO
15,3,4.71,CENTRO_VISITA
15,7,4.46,CENTRO_VISITA
15,11,4.37,CENTRO_VISITA
16,13,4.86,MUSEO
16,16,4.37,INFOPOINT
16,10,4.34,INFOPOINT
16,6,4.11,AREA_FAUNISTICA
16,7,3.65,CENTRO_VISITA
17,12,4.21,CENTRO_VISITA
18,6,4.4,AREA_FAUNISTICA
18,8,4.3,INFOPOINT
18,3,4.08,CENTRO_VISITA
19,16,4.79,INFOPOINT
19,18,4.57,INFOPOINT
19,3,4.29,CENTRO_VISITA
20,3,4.75,CENTRO_VISITA
20,7,4.68,CENTRO_VISITA
20,1,4.19,AREA_FAUNISTICA
20,14,4.05,MUSEO
